PORTS: xynbnb.com(47.76.187.206) | 3306(MySQL),22(SSH),21(FTP) | Server:nginx
PORTS: weixinhow.com(47.103.113.94) | 3306(MySQL),22(SSH) | Server:nginx
PORTS: ciidoo.com(154.194.251.100) | 22(SSH) | Server:nginx
PORTS: poscerwatch.com(155.102.76.9) | 8080(HTTP-8080) | Server:ESA
PORTS: bjgyzjw.com(8.141.122.13) | 22(SSH) | Server:Apache
PORTS: pinjiaolian.com(121.41.90.199) | 22(SSH) | Server:nginx/1.20.1
PORTS: gzjiada.com(121.42.68.106) | 21(FTP),8080(HTTP-8080) | Server:nginx
PORTS: tzwpco.com(120.25.14.138) | 21(FTP) | Server:Apache
PORTS: cqzskj.com(123.57.103.171) | 22(SSH) | Server:nginx/1.20.1
PORTS: e2say.com(120.55.92.21) | 3389(RDP) | Server:nginx/1.20.1
PORTS: pfinno.com(47.238.6.153) | 21(FTP),8080(HTTP-8080) | Server:Apache
PORTS: wnssedu.com(47.93.94.162) | 8080(HTTP-8080) | Server:
PORTS: lynlzqy.com(101.34.203.37) | 22(SSH) | Server:nginx/1.20.1
PORTS: bocondalian.com(61.147.124.206) | 21(FTP) | Server:Microsoft-IIS/7.5
PORTS: gxzyhb.com(211.149.229.52) | 3306(MySQL),21(FTP) | Server:wts
PORTS: guoxuedashi.com(39.100.109.144) | 3389(RDP) | Server:Microsoft-IIS/10.0
PORTS: eztcn.com(23.225.57.243) | 22(SSH) | Server:nginx
PORTS: zjg-edu.com(121.43.96.135) | 22(SSH) | Server:nginx/1.28.1
PORTS: lilithgame.com(106.75.49.72) | 8080(HTTP-8080) | Server:Tengine
PORTS: swceb.com(120.79.150.103) | 3306(MySQL),22(SSH),21(FTP) | Server:nginx
PORTS: de1919.com(36.249.95.172) | 6379(Redis),8080(HTTP-8080) | Server:nginx
PORTS: zhrct.com(103.139.1.249) | 3306(MySQL),21(FTP) | Server:nginx
PORTS: henghe-group.com(60.205.214.180) | 21(FTP),8080(HTTP-8080) | Server:nginx
PORTS: explinks.com(123.56.84.89) | 22(SSH) | Server:nginx
PORTS: ichaotu.com(39.107.114.80) | 22(SSH) | Server:nginx
PORTS: lanxiongsports.com(123.57.237.70) | 22(SSH),21(FTP) | Server:nginx
PORTS: nw0898.com(47.120.63.67) | 3306(MySQL) | Server:nginx
PORTS: terra-master.com(23.227.38.65) | 8080(HTTP-8080) | Server:cloudflare
PORTS: ylzhsk.com(121.89.175.45) | 21(FTP) | Server:nginx
PORTS: ibodao.com(119.3.116.114) | 8080(HTTP-8080) | Server:CW
PORTS: qinggonggroup.com(211.149.230.231) | 3306(MySQL) | Server:wts
PORTS: zjhrnet.com(114.55.59.192) | 8080(HTTP-8080) | Server:nginx/1.20.1
PORTS: szahotel.com(81.71.196.161) | 8080(HTTP-8080) | Server:
PORTS: baizhanke.com(123.206.224.148) | 3306(MySQL),22(SSH),6379(Redis) | Server:nginx/1.13.7
PORTS: yurongoptical.com(211.149.154.217) | 3306(MySQL),21(FTP) | Server:nginx
PORTS: mr91.com(193.112.50.112) | 21(FTP) | Server:nginx/1.24.0
PORTS: qingkuajing.com(27.148.196.9) | 22(SSH),21(FTP) | Server:
PORTS: gkgzj.com(47.93.95.65) | 8080(HTTP-8080) | Server:
PORTS: guimamuye.com(211.149.228.173) | 3306(MySQL) | Server:wts
PORTS: 3zhijk.com(180.76.180.239) | 22(SSH) | Server:nginx
PORTS: wabuw.com(116.204.103.138) | 22(SSH) | Server:nginx
PORTS: imshusheng.com(175.24.174.28) | 3306(MySQL),22(SSH) | Server:nginx/1.20.1
PORTS: xuanyouwang.com(60.205.173.141) | 3306(MySQL),3389(RDP),22(SSH),21(FTP),6379(Redis),27017(MongoDB),8080(HTTP-8080) | Server:Apache/2.2.15 (CentOS)
PORTS: xcgui.com(103.245.25.42) | 3306(MySQL),22(SSH) | Server:Apache/2.4.6 (CentOS) OpenSSL/1.0.2k-fips PHP/7.4.33
PORTS: gdlaoan.com(47.244.138.253) | 22(SSH),21(FTP) | Server:nginx
PORTS: whsjytyy.com(117.50.208.99) | 22(SSH) | Server:
PORTS: limit-animation.com(182.92.131.21) | 22(SSH),21(FTP) | Server:nginx
PORTS: bigddg.com(211.149.239.226) | 3306(MySQL) | Server:wts
PORTS: deerhappy.com(124.70.51.74) | 8080(HTTP-8080) | Server:nginx
PORTS: lzyd.com(114.215.105.174) | 3306(MySQL),22(SSH) | Server:nginx/1.0.9
DONE: 300 scanned
