2026/08/12 01:23:02 socat[1810664] E connect(5, AF=2 127.0.0.1:17897, 16): Connection refused
2026/08/12 01:37:56 socat[1813413] E connect(5, AF=2 127.0.0.1:17897, 16): Connection refused
2026/08/12 06:37:48 socat[1904171] E connect(5, AF=2 127.0.0.1:17897, 16): Connection refused
2026/08/12 06:52:44 socat[1906144] E connect(5, AF=2 127.0.0.1:17897, 16): Connection refused
2026/08/12 11:54:25 socat[1954811] E connect(5, AF=2 127.0.0.1:17897, 16): Connection refused
2026/08/12 12:09:36 socat[1957318] E connect(5, AF=2 127.0.0.1:17897, 16): Connection refused
2026/08/12 14:58:15 socat[2003833] E connect(5, AF=2 127.0.0.1:17897, 16): Connection refused
2026/08/12 16:07:52 socat[2056758] E connect(5, AF=2 127.0.0.1:17897, 16): Connection refused
2026/08/12 17:11:45 socat[2062601] E connect(5, AF=2 127.0.0.1:17897, 16): Connection refused
2026/08/12 17:27:38 socat[2063485] E connect(5, AF=2 127.0.0.1:17897, 16): Connection refused
2026/08/12 18:22:05 socat[2069891] E connect(5, AF=2 127.0.0.1:17897, 16): Connection refused
2026/08/12 18:37:43 socat[2070593] E connect(5, AF=2 127.0.0.1:17897, 16): Connection refused
2026/08/12 19:27:52 socat[2072840] E connect(5, AF=2 127.0.0.1:17897, 16): Connection refused
2026/08/12 20:28:15 socat[2079878] E connect(5, AF=2 127.0.0.1:17897, 16): Connection refused
2026/08/12 21:37:09 socat[2084960] E connect(5, AF=2 127.0.0.1:17897, 16): Connection refused
2026/08/12 21:51:49 socat[2086832] E connect(5, AF=2 127.0.0.1:17897, 16): Connection refused
2026/08/12 22:39:49 socat[2094264] E connect(5, AF=2 127.0.0.1:17897, 16): Connection refused
2026/08/12 22:54:55 socat[2095623] E connect(5, AF=2 127.0.0.1:17897, 16): Connection refused
2026/08/14 08:02:35 socat[2317595] E connect(5, AF=2 127.0.0.1:17897, 16): Connection refused
2026/08/14 08:02:45 socat[2317602] E connect(5, AF=2 127.0.0.1:17897, 16): Connection refused
2026/08/14 08:02:45 socat[2317603] E connect(5, AF=2 127.0.0.1:17897, 16): Connection refused
2026/08/14 08:02:45 socat[2317606] E connect(5, AF=2 127.0.0.1:17897, 16): Connection refused
2026/08/14 08:02:45 socat[2317607] E connect(5, AF=2 127.0.0.1:17897, 16): Connection refused
